Nº Eletro,Nº Parada,Nº Parada,SEP,Endereço,Bairro,Latitude,Longitude,Filial,Modelo de Abrigo,QTDE. CAIXA DIGITAL,FACE DIGITAL,DIGITAL  POSIÇÃO,DIGITAL TIPO,TIPO DE PAINEL DIGITAL,QTDE. CAIXA ESTATICA, FACE ESTATICA,ESTATICO POSIÇÃO,ESTATICO  TIPOS,OBSERVAÇÃO
A01547,790016358,790016358,,"AVENIDA JABAQUARA (METRO SAUDE), 2443",SAUDE,"-23,625737","-46,640654",Sul,CAOS LEVE,,,,,,2,2,180°,SUSPENSO - SIMPLES,
A01548,790016348,790016348,,"AVENIDA JABAQUARA (METRO SAUDE), 1634",SAUDE,"-23,618476","-46,639365",Sul,CAOS LEVE,,,,,,2,2,180°,SIMPLES/SUSPENSO,
A01549,790016350,790016350,,"AVENIDA JABAQUARA, OP 2345",SAUDE,"-23,624761","-46,640748",Sul,CAOS LEVE,,,,,,2,2,180°,SIMPLES/SUSPENSO,
A01550,790016218,790016218,33170,"AVENIDA JABAQUARA, 2371",SAUDE,"-23,625208","-46,64054",Sul,CAOS LEVE,1,1,90°,SIMPLES,BOE (DS),1,1,180°,SUSPENSO,
A01551,790016356,790016356,,"AVENIDA JABAQUARA, 2979",SAUDE,"-23,629013","-46,645204",Sul,CAOS ESTRUTURADO,,,,,,1,2,90°,SIMPLES,
A01552,790015066,790015066,,"AVENIDA JOSE MARIA WHITAKER (PAO DE ACUCAR), 81",SAUDE,"-23,602371","-46,650732",Sul,CAOS LEVE,,,,,,2,2,180°,SIMPLES/SUSPENSO,
A01553,790015067,790015067,32469,"AVENIDA JOSE MARIA WHITAKER (UNIP), 290",SAUDE,"-23,602829","-46,650087",Sul,CAOS ESTRUTURADO,1,1,90°,SIMPLES,BOE/DS,,,,,
A01554,7905720,7905720,,"AVENIDA JOSE MARIA WHITAKER, OP 521",SAUDE,"-23,606042","-46,649006",Sul,CAOS ESTRUTURADO,1,1,90°,SIMPLES,,1,1,180°,SUSPENSO,
A01555,7905722,7905722,32510,"AVENIDA JOSE MARIA WHITAKER, 521",SAUDE,"-23,606073","-46,648771",Sul,CAOS LEVE,1,1,90°,SIMPLES,BOE/DS,1,1,180°,SUSPENSO,
A01556,790015074,790015074,33483,"AVENIDA JOSE MARIA WHITAKER, OP 1160",SAUDE,"-23,610525","-46,645411",Sul,CAOS LEVE,1,1,90°,SIMPLES,BOE/DS,1,1,180°,SUSPENSO,
A01557,790015078,790015078,,"AVENIDA JOSE MARIA WHITAKER (RUA ITAIPU ), OP 1596",SAUDE,"-23,613943","-46,643922",Sul,CAOS LEVE,,,,,,2,2,180°,SIMPLES/SUSPENSO,
A01558,7906143,7906143,,"AVENIDA MIRUNA (ALAMEDA DOS GUAINUMBIS ), OP 1178",SAUDE,"-23,617955","-46,657364",Sul,CAOS LEVE,,,,,,2,2,180°,SIMPLES/SUSPENSO,
A01559,790015511,790015511,,"AVENIDA MIRUNA (ALAMEDA DOS GUAICANÃS), OP 1483",SAUDE,"-23,619831","-46,655211",Sul,CAOS LEVE,,,,,,1,2,90°,DUPLA FACE,
A01560,790015514,790015514,,"AVENIDA MIRUNA, OP 1800",SAUDE,"-23,621588","-46,652819",Sul,CAOS LEVE,,,,,,,,,,
A01561,270016978,270016978,48849,"AVENIDA PROFESSOR ABRAAO DE MORAIS (FREI ROLIM), 1865",CURSINO,"-23,621044","-46,627705",Sul,CAOS ESTRUTURADO,1,1,45°,SIMPLES,BOE/AA,,,,,
A01562,270016979,270016979,48848,"AVENIDA PROFESSOR ABRAAO DE MORAIS (RUA RIBEIRO LACERDA), 2201",CURSINO,"-23,619463","-46,627624",Sul,CAOS LEVE,1,1,45°,SIMPLES,BOE/AA,1,1,180°,SUSPENSO,
A01563,270016983,270016983,48851,"AVENIDA PROFESSOR ABRAAO DE MORAIS (RUA VIGÁRIO ALBENAZ ), 93",CURSINO,"-23,605168","-46,626014",Sul,CAOS LEVE,1,1,45°,SIMPLES,BOE/AA,1,1,180°,SUSPENSO,
A01564,270016982,270016982,,"AVENIDA PROFESSOR ABRAAO DE MORAIS (AVENIDA ITABORAI), 503",CURSINO,"-23,60896","-46,627661",Sul,CAOS LEVE,,,,,,1,1,45°,SIMPLES,
A01566,790016970,790016970,,"AVENIDA PROFESSOR ABRAAO DE MORAIS (RUA GEN CHAGAS DOS SANTOS ), 1500",SAUDE,"-23,615568","-46,627405",Sul,CAOS LEVE,,,,,,1,1,180°,SIMPLES,
A01567,790016971,790016971,,"AVENIDA PROFESSOR ABRAAO DE MORAIS, 2066",SAUDE,"-23,616938","-46,627698",Sul,CAOS LEVE,,,,,,1,1,180°,SUSPENSO,
A01568,790016972,790016972,,"AVENIDA PROFESSOR ABRAAO DE MORAIS, 2200",SAUDE,"-23,61908","-46,628135",Sul,CAOS LEVE,,,,,,1,1,180,SIMPLES,
A01569,270016954-1,270016954,48850,"AVENIDA PROFESSOR ABRAAO DE MORAIS (RUA FRANCISCO TAPAJÓS ), 2115",CURSINO,"-23,623523","-46,628121",Sul,CAOS LEVE,1,1,45°,SIMPLES,BOE/AA,1,1,180°,SUSPENSO,
A01570,270016954-2,270016954,,"AVENIDA PROFESSOR ABRAAO DE MORAIS (RUA FRANCISCO TAPAJÓS ), 2115",CURSINO,"-23,623523","-46,628121",Sul,CAOS LEVE,,,,,,2,2,180°,SIMPLES/SUSPENSO,
A01571,790016974,790016974,,"AVENIDA PROFESSOR ABRAAO DE MORAIS (AVENIDA FAGUNDES FILHO ), 1446",SAUDE,"-23,626103","-46,629441",Sul,CAOS LEVE,,,,,,1,1,180°,SIMPLES,
A01572,7906174,7906174,,"RUA CARNEIRO DA CUNHA (RUA PARACATU ), 1024",SAUDE,"-23,621818","-46,634645",Sul,CAOS LEVE,,,,,,2,2,180°,SIMPLES/SUSPENSO,
A01573,790016146,790016146,33167,"RUA FIACAO DA SAUDE , 325",SAUDE,"-23,61814","-46,637698",Sul,CAOS LEVE,1,1,90°,SIMPLES,CHINA,1,1,180°,SUSPENSO,
A01574,7906197,7906197,,"RUA IBITURUNA, 494",SAUDE,"-23,623042","-46,635082",Sul,CAOS LEVE,,,,,,2,2,180°,SIMPLES/SUSPENSO,
A01576,810009938,810009938,,"AVENIDA CORONEL OCTAVIANO DE FREITAS COSTA (AVENIDA JUAN ESPERUA ), 89",SOCORRO,"-23,677549","-46,711393",Sul,CAOS LEVE,,,,,,1,1,180°,SUSPENSO,
A01578,810009900,810009900,,"AVENIDA DO RIO BONITO, 2293",SOCORRO,"-23,692786","-46,701515",Sul,MINIMALISTA LEVE,,,,,,1,1,45°,SIMPLES,
A01580,810009915-2,810009915,,"AVENIDA NOSSA SENHORA DO SOCORRO, 392",SOCORRO,"-23,671675","-46,711598",Sul,CAOS LEVE,,,,,,1,1,180°,SUSPENSO,
