Nº Eletro,Nº Parada,Nº Parada,SEP,Endereço,Bairro,Latitude,Longitude,Filial,Modelo de Abrigo,QTDE. CAIXA DIGITAL,FACE DIGITAL,DIGITAL  POSIÇÃO,DIGITAL TIPO,TIPO DE PAINEL DIGITAL,QTDE. CAIXA ESTATICA, FACE ESTATICA,ESTATICO POSIÇÃO,ESTATICO  TIPOS,OBSERVAÇÃO
A01649,270016253,270016253,,"RUA SANTA CRUZ (RUA DOM SEBASTIÃO DO REGO), 1755",CURSINO,"-23,601539","-46,621304",Sul,CAOS ESTRUTURADO,,,,,,,,,,
A01651,920015233,920015233,33159,"RUA SENA MADUREIRA (RUA CAP MACEDO), 442",VILA MARIANA,"-23,593514","-46,640256",Sul,CAOS ESTRUTURADO,1,1,90°,SIMPLES,BOE/DS,,,,,
A01653,9206417,9206417,30863,"RUA SENA MADUREIRA (PRACA KENICHI NAKAGAWA ), OP 1225",VILA MARIANA,"-23,592798","-46,647277",Sul,CAOS LEVE,1,1,90°,SIMPLES,LG,1,1,180°,SUSPENSO,
A01654,920015230-3,920015230,,"RUA TENENTE GOMES RIBEIRO, OP 216",VILA MARIANA,"-23,599147","-46,637584",Sul,CAOS LEVE,,,,,,,,,,
A01655,920015230-4,920015230,,"RUA TENENTE GOMES RIBEIRO, OP 216",VILA MARIANA,"-23,599147","-46,637584",Sul,CAOS LEVE,,,,,,2,2,180°,SIMPLES/SUSPENSO,
A01656,920015230-1,920015230,,"RUA TENENTE GOMES RIBEIRO, OP 236",VILA MARIANA,"-23,599147","-46,637584",Sul,CAOS LEVE,,,,,,2,2,180°,SIMPLES/SUSPENSO,
A01657,920015230-2,920015230,,"RUA TENENTE GOMES RIBEIRO, OP 236",VILA MARIANA,"-23,599147","-46,637584",Sul,CAOS LEVE,,,,,,1,1,180°,SUSPENSO,
A01658,920015230-5,920015230,,"RUA TENENTE GOMES RIBEIRO, OP 236",VILA MARIANA,"-23,599147","-46,637584",Sul,CAOS LEVE,,,,,,2,2,180°,SIMPLES/SUSPENSO,
A01659,920015275,920015275,33486,"RUA TUTOIA (RUA EVARISTO DE MORAIS), OP 641",VILA MARIANA,"-23,576471","-46,650846",Sul,CAOS ESTRUTURADO,1,1,90°,SIMPLES,CHINA,,,,,
A01660,920015272,920015272,30935,"RUA TUTOIA, OP 948",VILA MARIANA,"-23,579173","-46,651067",Sul,CAOS ESTRUTURADO,1,1,90°,SIMPLES,CHINA,,,,,
A01661,920016189,920016189,,"RUA VERGUEIRO (METRO CHACALA KLABIN, 3799",VILA MARIANA,"-23,592466","-46,630628",Sul,CAOS ESTRUTURADO,,,,,,2,2,180°,SIMPLES/SUSPENSO,
A01662,920016408,920016408,43156,"RUA VERGUEIRO (OPOSTO METRO PARAISO (C/B), 1476",VILA MARIANA,"-23,575124","-46,640858",Sul,CAOS LEVE,1,1,45°,SIMPLES,BOE (AA),,,,,
A01663,480014645,480014645,,"PRAÇA FERNANDO PACHECO DE CASTRO, 56",LAPA,"-23,535578","-46,718814",Matriz,CAOS LEVE,,,,,,2,2,180°,SIMPLES/SUSPENSO,
A01664,490016692,490016692,,"RUA VERGUEIRO , 685",LIBERDADE,"-23,568086","-46,64005",Leste,CAOS LEVE,,,,,,2,2,180°,SIMPLES/SUSPENSO,
A01665,490016694,490016694,,"RUA VERGUEIRO (METRO VERGUEIRO, 789",LIBERDADE,"-23,568862","-46,639798",Leste,CAOS ESTRUTURADO,,,,,,1,2,90°,DUPLA FACE,
A01666,490016693,490016693,,"RUA VERGUEIRO (METRO VERGUEIRO, 790",LIBERDADE,"-23,568932","-46,640024",Leste,CAOS ESTRUTURADO,,,,,,1,2,90°,DUPLA FACE,
A01667,490016698,490016698,33151,"RUA VERGUEIRO , 1149",LIBERDADE,"-23,572201","-46,639796",Leste,CAOS ESTRUTURADO,1,1,90°,SIMPLES,BOE (AA),,,,,
A01668,920016407,920016407,,"RUA VERGUEIRO (RUA EDUARDO AMARO - METRÔ PARAÍSO ), 1505",VILA MARIANA,"-23,57517","-46,640498",Sul,CAOS LEVE,,,,,,2,2,180°,SIMPLES/SUSPENSO,
A01669,920016405,920016405,,"RUA VERGUEIRO , 1855",VILA MARIANA,"-23,578435","-46,640071",Sul,CAOS LEVE,,,,,,1,1,180°,SUSPENSO,
A01670,920016702-1,920016702,,"RUA VERGUEIRO, 2060",VILA MARIANA,"-23,580566","-46,639154",Sul,CAOS LEVE,,,,,,2,2,180°,SIMPLES/SUSPENSO,
A01671,920016702-2,920016702,33470,"RUA VERGUEIRO, 2060",VILA MARIANA,"-23,580566","-46,639154",Sul,CAOS LEVE,1,1,45°,SIMPLES,BOE/DS,1,1,180°,SUSPENSO,
A01672,920016404,920016404,,"RUA VERGUEIRO, 2229",VILA MARIANA,"-23,581446","-46,638174",Sul,CAOS LEVE,,,,,,1,1,180°,SIMPLES,
A01673,9206523,9206523,32654,"RUA VERGUEIRO, 2418",VILA MARIANA,"-23,583189","-46,637524",Sul,CAOS LEVE,1,1,90°,SIMPLES,BOE/DS,1,1,180°,SUSPENSO,
A01674,920016403,920016403,30945,"RUA VERGUEIRO, 2575",VILA MARIANA,"-23,584072","-46,636464",Sul,CAOS ESTRUTURADO,1,1,90°,SIMPLES,CHINA,,,,,
A01675,920016192,920016192,33169,"RUA VERGUEIRO, 4210",VILA MARIANA,"-23,595052","-46,627301",Sul,CAOS LEVE,1,1,90°,SIMPLES,BOE (DS),1,1,180°,SUSPENSO,
A01676,920016191,920016191,43157,"RUA VERGUEIRO (RUA ITÁPRIAS - PRÓX. HOSPITAL SEPACO), 4241",VILA MARIANA,"-23,594971","-46,626899",Sul,CAOS LEVE,1,1,45°,SIMPLES,BOE/AA,,,,,
A01678,920016258,920016258,43158,"RUA VERGUEIRO, 4600",VILA MARIANA,"-23,594642","-46,623289",Sul,CAOS ESTRUTURADO,1,1,45°,SIMPLES,BOE (AA),,,,,
A01680,270016242,270016242,48860,"RUA VERGUEIRO (RUA VINTE QUATRO DE OUTUBRO), 5735",CURSINO,"-23,596376","-46,616502",Sul,CAOS ESTRUTURADO,1,1,45°,SIMPLES,BOE (AA),,,,,
A01681,270016232,270016232,,"RUA VERGUEIRO , 7165",CURSINO,"-23,608475","-46,613439",Sul,CAOS LEVE,,,,,,2,2,180°,SIMPLES/SUSPENSO,
A01682,270016231,270016231,,"RUA VERGUEIRO (RUA SÃO DANIEL ), OP 7263",CURSINO,"-23,609149","-46,612688",Sul,CAOS LEVE,,,,,,2,2,180°,SIMPLES/SUSPENSO,
A01683,330016227,330016227,,"RUA VERGUEIRO, 7810",IPIRANGA,"-23,610818","-46,608683",Sul,CAOS LEVE,,,,,,2,2,180°,SIMPLES/SUSPENSO,
A01684,6905080,6905080,,"RUA VERGUEIRO, 8081",SACOMA,"-23,612276","-46,60718",Sul,CAOS LEVE,,,,,,2,2,180°,SIMPLES/SUSPENSO,
A01685,690011042,690011042,,"RUA VERGUEIRO (RUA PROFº VILALVA JRUA ), 8461",SACOMA,"-23,615315","-46,604989",Sul,CAOS LEVE,,,,,,1,1,180°,SUSPENSO,
A01686,690011041,690011041,,"RUA VERGUEIRO, 8717",SACOMA,"-23,616226","-46,606386",Sul,CAOS LEVE,,,,,,1,1,180°,SUSPENSO,
